Review,Category,Sentiment
"Honestly, fast and efficient service, didn't have to wait long for food.",Service,Positive
The waiters are quiet but efficient enough. Just normal.,Service,Neutral
"I've had better waffles elsewhere, this one was quite disappointing. Quite disappointed.",Menu,Negative
"Honestly, the café is too noisy and crowded, cannot focus or talk properly.",Environment,Negative
The waiters are very attentive and accommodating to our requests. Will come back.,Service,Positive
"Honestly, the kopi o kaw was okay, nothing special to shout about.",Menu,Neutral
"Price wise it's okay, standard RM15-25 range for mains. Just normal.",Price,Neutral
"Food is alright, the nasi lemak pandan satisfies the hunger but that's it.",Menu,Neutral
"Honestly, the staff are extremely friendly and polite, fast service too.",Service,Positive
"Expected prices for a trendy café, standard damage to the wallet.",Price,Neutral
"Honestly, normal service, didn't experience any issues but nothing outstanding.",Service,Neutral
"Beautiful aesthetic interior, perfect spot for Instagram photos!",Environment,Positive
Very clean and comfortable seating. Great for working or studying.,Environment,Positive
"Service speed was average, nothing to complain about.",Service,Neutral
Very reasonable prices for the portion and quality they offer. Will come back.,Price,Positive
"Prices are too high, RM20+ for a simple local dish is absurd. Quite disappointed.",Price,Negative
Superb hospitality. Abang at the counter was very welcoming.,Service,Positive
Their signature avocado toast never disappoints. Consistent quality.,Menu,Positive
"Extremely disappointed with the service, very unattentive staff. Quite disappointed.",Service,Negative
"Highly recommend the durian cake, it's the best I've tasted in KL.",Menu,Positive
I ordered the iced latte but it arrived cold and unappetizing.,Menu,Negative
Overpriced coffee and the food is definitely not worth the money. Quite disappointed.,Price,Negative
"Honestly, very reasonable prices for the portion and quality they offer.",Price,Positive
The service crew looked annoyed and had a bad attitude.,Service,Negative
"The croissant was too oily/sweet for my liking, couldn't finish it. Quite disappointed.",Menu,Negative
"Honestly, the pricing is too steep for the low quality they provide.",Price,Negative
Super rich and flavorful rendang pasta. Will definitely come back for this. Will come back.,Menu,Positive
"Disappointed with the mee goreng, it tasted stale and old.",Menu,Negative
Excellent service! The barista recommended a great drink for me.,Service,Positive
"Not cheap, but acceptable given the location and current trends. Just normal.",Price,Neutral
"Value for money is excellent here, highly recommended.",Price,Positive
"Honestly, way too expensive for such basic food and tiny portions.",Price,Negative
"Price doesn't match the taste, everything is overly expensive. Quite disappointed.",Price,Negative
"Pricing is average, typical for a café in the city center. Just normal.",Price,Neutral
"Ordering process was standard, staff did their job without much interaction. Just normal.",Service,Neutral
The place looks quite rundown and the cleanliness can be improved.,Environment,Negative
"Seating arrangement is very cramped, tables are too close together. Quite disappointed.",Environment,Negative
"Average waiting time for food, service is just alright. Just normal.",Service,Neutral
"Cleanliness is acceptable, standard café environment.",Environment,Neutral
"It can get a bit loud during peak hours, but otherwise okay.",Environment,Neutral
"Honestly, the café has a very cozy and relaxing atmosphere, love the design.",Environment,Positive
Poor management. They forgot our order and didn't even apologize.,Service,Negative
"Standard pricing for this area, about what you'd expect to pay.",Price,Neutral
"The sambal nasi lemak tasted artificial, definitely not fresh. Quite disappointed.",Menu,Negative
The durian cake was perfectly prepared and served fresh. Will come back.,Menu,Positive
The aircond was leaking and the place felt stuffy and warm.,Environment,Negative
"Too costly for an everyday visit, definitely overpriced.",Price,Negative
Total rip-off. They charge so much for standard café food.,Price,Negative
"Price wise it's okay, standard RM15-25 range for mains.",Price,Neutral
The environment is quite uncomfortable and flies were flying around.,Environment,Negative
The presentation of the chicken chop was messy and it tasted plain. Quite disappointed.,Menu,Negative
"The avocado toast was acceptable, but nothing to write home about.",Menu,Neutral
The waiters are very attentive and accommodating to our requests.,Service,Positive
"Honestly, the toilet was dirty and the overall hygiene of the sitting area was poor.",Environment,Negative
Surprisingly cheap compared to other aesthetic cafés in Bangsar. Will come back.,Price,Positive
"Too costly for an everyday visit, definitely overpriced.",Price,Negative
"Honestly, the staff are extremely friendly and polite, fast service too.",Service,Positive
"Not too bad, standard vibe for a neighborhood café. Just normal.",Environment,Neutral
The presentation of the iced latte was messy and it tasted plain.,Menu,Negative
"Average café food, the gula melaka latte is just standard fare.",Menu,Neutral
"Affordable café food, definitely worth every ringgit spent.",Price,Positive
"Ordering process was standard, staff did their job without much interaction.",Service,Neutral
"Price wise it's okay, standard RM15-25 range for mains.",Price,Neutral
Superb hospitality. Abang at the counter was very welcoming. Will come back.,Service,Positive
A hidden gem with a beautiful green garden concept.,Environment,Positive
The service crew looked annoyed and had a bad attitude. Quite disappointed.,Service,Negative
"The flavor of the flat white is standard, nothing impressive. Just normal.",Menu,Neutral
"The staff are extremely friendly and polite, fast service too. Will come back.",Service,Positive
"Love their food menu, especially the roti bakar with kaya. So satisfying.",Menu,Positive
The durian cake was perfectly prepared and served fresh.,Menu,Positive
"Honestly, way too expensive for such basic food and tiny portions.",Price,Negative
"Normal service, didn't experience any issues but nothing outstanding. Just normal.",Service,Neutral
"Prices are reasonable enough, average for standard café food.",Price,Neutral
"Honestly, prices are standard café rates, not cheap but not too expensive.",Price,Neutral
"Too chaotic and loud, music was blasting too high.",Environment,Negative
"Waited forever for someone to take our order, very bad service.",Service,Negative
Way too expensive for such basic food and tiny portions. Quite disappointed.,Price,Negative
"Highly recommend the durian cake, it's the best I've tasted in KL. Will come back.",Menu,Positive
I ordered the croissant but it arrived cold and unappetizing.,Menu,Negative
"Service is okay, a bit slow during weekends but understandable.",Service,Neutral
Super rich and flavorful durian cake. Will definitely come back for this.,Menu,Positive
They charge premium prices but give very small portions. Quite disappointed.,Price,Negative
"Honestly, the kopi o kaw was okay, nothing special to shout about.",Menu,Neutral
"Honestly, the environment is okay, just a typical modern café setup.",Environment,Neutral
The environment is quite uncomfortable and flies were flying around.,Environment,Negative
"The flavor of the flat white is standard, nothing impressive.",Menu,Neutral
"Fast and efficient service, didn't have to wait long for food. Will come back.",Service,Positive
"The roti bakar with kaya was fair, acceptable quality but won't crave it.",Menu,Neutral
"Waited forever for someone to take our order, very bad service. Quite disappointed.",Service,Negative
"Disappointed with the waffles, it tasted stale and old. Quite disappointed.",Menu,Negative
"Friendly boss and staff, makes you feel right at home.",Service,Positive
Hidden service charges make the final bill way too expensive. Quite disappointed.,Price,Negative
Really good portions and the kopi o kaw tastes amazing.,Menu,Positive
Excellent service! The barista recommended a great drink for me.,Service,Positive
"Even during the peak lunch hour, the staff kept smiling and served fast.",Service,Positive
"Nice cozy ambiance, perfect for a rainy afternoon in Malaysia. Will come back.",Environment,Positive
"Honestly, service is standard, took some time but acceptable.",Service,Neutral
"The staff ignores customers, had to call them multiple times. Quite disappointed.",Service,Negative
"Great layout, very peaceful and relaxing environment. Will come back.",Environment,Positive
"The cashiers are so slow, the queue was stretching out the door. Quite disappointed.",Service,Negative
"Had the matcha latte, it was decent but quite average. Just normal.",Menu,Neutral
Super rich and flavorful rendang pasta. Will definitely come back for this.,Menu,Positive
"Not worth the price at all, left the place feeling unsatisfied and broke.",Price,Negative
"Great customer service, they custom-made my drink according to my request.",Service,Positive
"The avocado toast was acceptable, but nothing to write home about. Just normal.",Menu,Neutral
"Not too bad, standard vibe for a neighborhood café.",Environment,Neutral
"Prices are moderate, neither cheap nor overly expensive. Just normal.",Price,Neutral
"Reasonably priced menu, very fair rates for everything.",Price,Positive
The service crew looked annoyed and had a bad attitude.,Service,Negative
"Service speed was average, nothing to complain about. Just normal.",Service,Neutral
The air conditioning is great and the whole place smells like fresh coffee.,Environment,Positive
"Honestly, not cheap, but acceptable given the location and current trends.",Price,Neutral
"Nice cozy ambiance, perfect for a rainy afternoon in Malaysia.",Environment,Positive
"Pricing is average, typical for a café in the city center.",Price,Neutral
"Honestly, the spaghetti carbonara was way too bland and lacked flavor.",Menu,Negative
The staff were rude and unhelpful when we asked for water.,Service,Negative
Overpriced coffee and the food is definitely not worth the money.,Price,Negative
"Lighting is way too dim, hard to read the menu or see the food. Quite disappointed.",Environment,Negative
They got our orders wrong twice. Very messy coordination.,Service,Negative
Very clean and comfortable seating. Great for working or studying. Will come back.,Environment,Positive
"Great customer service, they custom-made my drink according to my request.",Service,Positive
"Honestly, service was very slow, took 40 minutes just for a cup of coffee.",Service,Negative
Surprisingly cheap compared to other aesthetic cafés in Bangsar.,Price,Positive
"Service is standard, took some time but acceptable. Just normal.",Service,Neutral
They got our orders wrong twice. Very messy coordination.,Service,Negative
"Love their food menu, especially the roti bakar with kaya. So satisfying. Will come back.",Menu,Positive
"Even during the peak lunch hour, the staff kept smiling and served fast. Will come back.",Service,Positive
"Very spacious and well-ventilated, not crowded at all. Will come back.",Environment,Positive
Hidden service charges make the final bill way too expensive.,Price,Negative
Really good portions and the salted egg croissant tastes amazing.,Menu,Positive
"Great value for money, their lunch sets are a real steal!",Price,Positive
Perfect environment to chill with friends or do some remote work.,Environment,Positive
Slow service and the staff doesn't seem to care at all. Quite disappointed.,Service,Negative
"The staff are okay, not super friendly but they get the job done.",Service,Neutral
Superb hospitality. Abang at the counter was very welcoming.,Service,Positive
"Honestly, the nasi lemak pandan here is absolutely delicious, authentic flavor!",Menu,Positive
"The environment is okay, just a typical modern café setup. Just normal.",Environment,Neutral
"Honestly, very reasonable prices for the portion and quality they offer.",Price,Positive
"It can get a bit loud during peak hours, but otherwise okay. Just normal.",Environment,Neutral
"Honestly, the cappuccino tasted artificial, definitely not fresh.",Menu,Negative
"Love the chill vibes here, the lighting and background music are perfect. Will come back.",Environment,Positive
"The café is too noisy and crowded, cannot focus or talk properly. Quite disappointed.",Environment,Negative
"Even during the peak lunch hour, the staff kept smiling and served fast.",Service,Positive
"Seating arrangement is very cramped, tables are too close together.",Environment,Negative
The place looks quite rundown and the cleanliness can be improved. Quite disappointed.,Environment,Negative
Total rip-off. They charge so much for standard café food. Quite disappointed.,Price,Negative
"The salted egg croissant tastes standard, just like any other café. Just normal.",Menu,Neutral
"Honestly, the café has a very cozy and relaxing atmosphere, love the design.",Environment,Positive
"Cleanliness is acceptable, standard café environment. Just normal.",Environment,Neutral
The aircond was leaking and the place felt stuffy and warm.,Environment,Negative
"Beautiful aesthetic interior, perfect spot for Instagram photos!",Environment,Positive
"Wow, the kopi o kaw has just the right amount of sweetness/flavor.",Menu,Positive
"The kopi o kaw was okay, nothing special to shout about. Just normal.",Menu,Neutral
"Cheap and delicious, a rare find for a café nowadays.",Price,Positive
The staff were rude and unhelpful when we asked for water.,Service,Negative
Excellent service! The barista recommended a great drink for me. Will come back.,Service,Positive
"Love the chill vibes here, the lighting and background music are perfect.",Environment,Positive
"Service speed was average, nothing to complain about.",Service,Neutral
"Great value for money, their lunch sets are a real steal! Will come back.",Price,Positive
Their signature flat white never disappoints. Consistent quality. Will come back.,Menu,Positive
"Ordering process was standard, staff did their job without much interaction.",Service,Neutral
"The mee goreng was too oily/sweet for my liking, couldn't finish it.",Menu,Negative
The waiters are very attentive and accommodating to our requests.,Service,Positive
The pricing is too steep for the low quality they provide. Quite disappointed.,Price,Negative
"It's an okay place to sit, nothing special about the ambiance. Just normal.",Environment,Neutral
"Standard café pricing, average value for money.",Price,Neutral
"Affordable café food, definitely worth every ringgit spent. Will come back.",Price,Positive
"Too cramped and hot, not a comfortable spot to sit for long.",Environment,Negative
"Lighting is way too dim, hard to read the menu or see the food.",Environment,Negative
"Fairly priced, matches the usual market rate for artisanal coffee.",Price,Neutral
"Honestly, very spacious and well-ventilated, not crowded at all.",Environment,Positive
"Standard café pricing, average value for money.",Price,Neutral
Quick service and very polite staff. Keep up the good work!,Service,Positive
The aircond was leaking and the place felt stuffy and warm. Quite disappointed.,Environment,Negative
"Standard pricing for this area, about what you'd expect to pay. Just normal.",Price,Neutral
Overpriced coffee and the food is definitely not worth the money.,Price,Negative
Slow service and the staff doesn't seem to care at all.,Service,Negative
"Honestly, tried the durian cake. it's fine, nothing memorable.",Menu,Neutral
Very pocket-friendly prices for such good quality coffee.,Price,Positive
"Average waiting time for food, service is just alright.",Service,Neutral
"Honestly, the croissant here is very overrated and underwhelming.",Menu,Negative
"Beautiful aesthetic interior, perfect spot for Instagram photos! Will come back.",Environment,Positive
The staff were rude and unhelpful when we asked for water. Quite disappointed.,Service,Negative
The chicken chop was burnt and had a weird bitter aftertaste.,Menu,Negative
"Had the matcha latte, it was decent but quite average.",Menu,Neutral
"Honestly, the sambal nasi lemak here is very overrated and underwhelming.",Menu,Negative
Perfect environment to chill with friends or do some remote work. Will come back.,Environment,Positive
"Honestly, a bit surprised by how good the matcha latte tastes. 10/10!",Menu,Positive
"Standard café interior, practical for a quick coffee break.",Environment,Neutral
Poor management. They forgot our order and didn't even apologize.,Service,Negative
"The staff are okay, not super friendly but they get the job done.",Service,Neutral
A bit surprised by how good the kopi o kaw tastes. 10/10! Will come back.,Menu,Positive
"Honestly, the durian cake here is absolutely delicious, authentic flavor!",Menu,Positive
"Honestly, the teh tarik was way too bland and lacked flavor.",Menu,Negative
"Waited forever for someone to take our order, very bad service.",Service,Negative
"Too chaotic and loud, music was blasting too high.",Environment,Negative
"Disappointed with the iced latte, it tasted stale and old.",Menu,Negative
"Wow, the rendang pasta has just the right amount of sweetness/flavor. Will come back.",Menu,Positive
"Good portions for the price, won't break your bank. Will come back.",Price,Positive
Portion for the cappuccino was way too small and tasted mediocre.,Menu,Negative
"They are polite enough, though service could be a bit faster.",Service,Neutral
"The place is decent, simple seating and standard layout. Just normal.",Environment,Neutral
"Service is okay, a bit slow during weekends but understandable.",Service,Neutral
"Prices are standard café rates, not cheap but not too expensive. Just normal.",Price,Neutral
"Prices are moderate, neither cheap nor overly expensive.",Price,Neutral
"Not worth the price at all, left the place feeling unsatisfied and broke. Quite disappointed.",Price,Negative
Very pocket-friendly prices for such good quality coffee.,Price,Positive
"The staff ignores customers, had to call them multiple times.",Service,Negative
The air conditioning is great and the whole place smells like fresh coffee.,Environment,Positive
"The shop smells a bit musty, needs better ventilation.",Environment,Negative
"Standard ordering at the counter, interaction was minimal.",Service,Neutral
The spaghetti carbonara was way too bland and lacked flavor. Quite disappointed.,Menu,Negative
"Friendly boss and staff, makes you feel right at home. Will come back.",Service,Positive
"Affordable café food, definitely worth every ringgit spent.",Price,Positive
"Standard taste for the rendang pasta, neither good nor bad.",Menu,Neutral
"It's an okay place to sit, nothing special about the ambiance.",Environment,Neutral
The brownies was burnt and had a weird bitter aftertaste.,Menu,Negative
"Honestly, prices are standard café rates, not cheap but not too expensive.",Price,Neutral
"Ambiance is normal, nothing too special but comfortable enough.",Environment,Neutral
"Love their food menu, especially the gula melaka latte. So satisfying.",Menu,Positive
"Prices are too high, RM20+ for a simple local dish is absurd.",Price,Negative
"Tried the durian cake. It's fine, nothing memorable. Just normal.",Menu,Neutral
Prices are quite cheap and affordable for students.,Price,Positive
Quick service and very polite staff. Keep up the good work! Will come back.,Service,Positive
"The atmosphere is okay, just normal seating and decor.",Environment,Neutral
Very clean and comfortable seating. Great for working or studying.,Environment,Positive
"Too chaotic and loud, music was blasting too high. Quite disappointed.",Environment,Negative
The flat white was perfectly prepared and served fresh.,Menu,Positive
"Great value for money, their lunch sets are a real steal!",Price,Positive
"It can get a bit loud during peak hours, but otherwise okay.",Environment,Neutral
"They are polite enough, though service could be a bit faster.",Service,Neutral
"Fairly priced, matches the usual market rate for artisanal coffee. Just normal.",Price,Neutral
Prices are quite cheap and affordable for students. Will come back.,Price,Positive
Poor management. They forgot our order and didn't even apologize. Quite disappointed.,Service,Negative
